seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vMax	vTarget	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
1002	38.094866	-5.577462	360.75	355.98	-4.77	-9.78	0.86	19.51	36	12	87	109	0	26.35	25.00	20.53	21.49	3.30	2.139	36.663	1	1
1003	38.095038	-5.577416	361.50	356.15	-5.35	-9.96	0.86	13.60	44	355	84	106	0	28.85	25.00	21.49	22.00	2.19	2.140	36.683	1	1
1004	38.095160	-5.577430	361.25	356.27	-4.98	-9.15	0.86	20.49	73	336	87	109	0	37.26	23.87	22.00	22.58	3.28	2.140	36.697	1	1
1005	38.095329	-5.577524	359.50	356.44	-3.06	-8.22	0.86	35.91	0	325	87	88	0	40.19	22.41	22.58	22.58	5.73	2.141	36.717	4	0
1006	38.095595	-5.577757	356.75	356.75	0.00	-9.43	-1.37	17.66	53	341	-56	60	0	31.66	31.66	22.58	24.34	2.70	2.143	36.753	1	2
1007	38.095745	-5.577824	356.00	356.51	0.51	-9.98	-1.37	83.10	0	4	-59	13	0	31.92	31.92	24.34	28.53	11.15	2.144	36.771	1	3
1008	38.096492	-5.577762	346.50	355.37	8.87	-9.11	-1.37	10.85	26	24	-57	0	-784	22.23	22.23	28.53	22.23	1.65	2.147	36.854	35	2
1009	38.096581	-5.577711	345.25	355.22	9.97	-6.20	-1.37	17.00	27	52	-40	60	-40	22.88	22.88	22.23	22.88	2.69	2.147	36.865	15	1
1010	38.096676	-5.577559	343.75	354.98	11.23	-0.60	-1.37	14.85	29	87	38	33	0	23.46	23.46	22.88	22.88	2.34	2.148	36.882	4	0
1011	38.096684	-5.577390	343.75	354.78	11.03	3.16	-1.37	12.67	49	108	79	0	0	30.66	17.49	22.88	21.14	2.07	2.149	36.896	20	1
1012	38.096648	-5.577253	344.00	354.61	10.61	4.27	-1.37	11.45	0	115	98	0	0	80.00	16.46	21.14	19.14	2.06	2.149	36.909	20	2
1013	38.096604	-5.577135	345.00	354.45	9.45	4.67	-1.37	87.29	0	118	105	95	0	80.00	16.16	19.14	16.16	18.51	2.150	36.921	24	2
1014	38.096237	-5.576255	353.25	353.25	0.00	5.99	-0.59	29.26	0	127	122	104	0	80.00	12.94	16.16	13.38	7.29	2.155	37.008	2	2
1015	38.096079	-5.575988	355.00	353.08	-1.92	6.38	-0.59	66.98	0	130	122	119	0	32.48	12.37	13.38	12.37	19.34	2.157	37.037	24	1
1016	38.095694	-5.575400	354.25	352.68	-1.57	3.20	-3.46	12.51	30	109	11	60	0	23.84	21.01	12.37	15.16	3.22	2.162	37.104	1	2
1017	38.095658	-5.575265	352.25	352.25	0.00	-1.01	-0.37	9.88	20	84	54	67	0	19.31	19.31	15.16	15.78	2.24	2.163	37.117	1	1
1018	38.095667	-5.575153	349.50	352.21	2.71	-5.69	-0.37	6.83	16	55	14	60	0	17.37	17.37	15.78	16.31	1.48	2.164	37.126	1	1
1019	38.095702	-5.575089	346.75	352.19	5.44	-8.21	-0.37	86.52	0	35	19	60	0	80.00	25.00	16.31	22.20	15.86	2.164	37.133	1	4
1020	38.096342	-5.574526	341.25	351.87	10.62	-8.28	1.31	58.61	0	34	92	62	0	80.00	19.52	22.20	19.90	10.31	2.169	37.220	2	2
1021	38.096779	-5.574151	348.75	352.63	3.88	-9.62	1.31	40.29	0	16	92	115	0	80.00	21.69	19.90	21.19	6.97	2.171	37.278	1	1
1022	38.097128	-5.574025	351.50	353.16	1.66	-10.00	5.02	49.02	0	1	131	85	0	80.00	11.74	21.19	12.20	11.71	2.173	37.319	2	6
1023	38.097569	-5.574018	355.00	355.62	0.62	-9.91	7.24	17.52	59	8	157	138	0	80.00	9.50	12.20	9.50	6.03	2.177	37.368	24	2
1024	38.097725	-5.573991	356.50	356.89	0.39	-8.48	7.24	11.94	29	32	157	148	0	80.00	8.66	9.50	8.66	4.87	2.178	37.385	24	1
1025	38.097816	-5.573919	357.75	357.75	0.00	-5.74	6.25	12.02	50	55	145	156	0	80.00	8.13	8.66	8.66	4.99	2.180	37.397	4	0
1026	38.097878	-5.573807	358.50	358.50	0.00	-5.05	7.85	19.17	0	60	160	154	0	80.00	7.11	8.66	7.11	9.45	2.181	37.409	24	1
1027	38.097965	-5.573619	360.00	360.00	0.00	-7.20	7.46	13.44	41	44	160	163	0	80.00	8.01	7.11	8.01	6.21	2.184	37.428	14	1
1028	38.098052	-5.573513	361.00	361.00	0.00	-9.28	8.15	36.95	0	22	160	161	0	80.00	8.25	8.01	8.25	16.14	2.185	37.442	14	1
1029	38.098360	-5.573357	364.00	364.00	0.00	-8.71	8.48	23.66	0	29	160	157	0	80.00	7.67	8.25	7.67	11.06	2.190	37.479	24	1
1030	38.098545	-5.573225	366.00	366.00	0.00	-8.84	9.60	20.94	0	28	160	157	0	80.00	6.84	7.67	6.84	10.94	2.193	37.502	24	1
1031	38.098711	-5.573114	368.00	368.00	0.00	-9.90	6.37	11.80	32	8	147	160	0	80.00	10.17	6.84	9.75	4.86	2.196	37.523	1	2
1032	38.098816	-5.573095	368.75	368.75	0.00	-9.69	5.69	13.19	41	346	139	151	0	80.00	10.65	9.75	10.65	4.57	2.197	37.535	14	1
1033	38.098931	-5.573132	369.50	369.50	0.00	-8.83	3.42	73.22	0	332	114	122	0	80.00	13.19	10.65	13.19	20.48	2.199	37.548	14	2
1034	38.099513	-5.573524	372.00	372.00	0.00	-9.19	2.52	19.81	94	337	105	131	0	80.00	15.90	13.19	15.05	4.97	2.204	37.622	1	2
1035	38.099677	-5.573613	372.50	372.50	0.00	-9.98	6.32	27.76	0	356	146	124	0	80.00	10.28	15.05	10.28	8.15	2.206	37.641	2	3
1036	38.099926	-5.573634	374.25	374.25	0.00	-9.72	3.06	16.34	0	346	110	138	0	80.00	15.11	10.28	13.50	4.88	2.208	37.669	1	2
1037	38.100069	-5.573678	374.75	374.75	0.00	-9.58	1.93	14.03	0	343	99	123	0	80.00	18.61	13.50	15.37	3.47	2.209	37.685	1	2
1038	38.100190	-5.573724	374.75	375.02	0.27	-10.00	5.77	11.90	32	360	140	119	0	80.00	10.83	15.37	13.24	3.04	2.210	37.700	2	2
1039	38.100297	-5.573724	375.25	375.71	0.46	-9.04	8.37	13.80	41	25	160	136	0	80.00	7.92	13.24	8.64	4.76	2.211	37.711	2	3
1040	38.100409	-5.573657	376.50	376.86	0.36	-7.97	8.37	19.69	0	37	160	155	0	80.00	7.48	8.64	7.48	9.33	2.212	37.725	24	1
1041	38.100550	-5.573522	378.50	378.50	0.00	-7.29	9.52	10.55	41	43	160	153	0	80.00	6.41	7.48	6.41	5.80	2.215	37.745	24	1
1042	38.100619	-5.573440	379.50	379.50	0.00	-3.96	8.31	12.08	30	67	160	155	0	80.00	6.60	6.41	6.41	6.78	2.217	37.755	4	0
1043	38.100662	-5.573314	380.50	380.50	0.00	-0.49	8.28	45.47	0	87	160	159	0	80.00	6.46	6.41	6.41	25.54	2.219	37.768	4	0
1044	38.100682	-5.572798	384.25	384.25	0.00	-2.52	11.34	42.14	0	75	160	159	0	80.00	4.88	6.41	4.88	30.86	2.226	37.813	24	1
1045	38.100777	-5.572336	389.00	389.00	0.00	0.11	14.87	20.40	72	91	160	159	0	80.00	3.77	4.88	3.77	19.38	2.234	37.855	24	1
1046	38.100775	-5.572106	392.00	392.00	0.00	3.01	13.44	55.49	0	108	160	160	0	80.00	3.98	3.77	3.98	50.25	2.240	37.876	14	1
1047	38.100626	-5.571508	400.00	399.39	-0.61	4.74	10.51	20.03	0	118	160	161	0	80.00	4.67	3.98	4.67	15.54	2.254	37.931	14	1
1048	38.100541	-5.571308	403.25	401.48	-1.77	5.85	10.51	35.67	0	126	160	160	0	80.00	4.48	4.67	4.48	28.64	2.258	37.951	24	1
1049	38.100354	-5.570980	405.75	405.21	-0.54	4.55	8.87	17.40	94	117	160	161	0	80.00	5.36	4.48	5.36	11.81	2.266	37.987	14	1
