seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vTarget	vMax	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
100	38.010233	-5.753514	550.25	549.95	-0.30	0.00	8.82	43.50	0	0	150	148	0	5.75	80.00	8.30	5.75	26.59	0.500	8.558	24	3
101	38.010622	-5.753556	553.50	553.77	0.27	0.00	4.36	123.15	0	0	133	134	0	9.19	80.00	5.75	9.19	49.07	0.507	8.602	14	3
102	38.011719	-5.753355	559.50	559.14	-0.36	0.00	2.79	44.19	0	0	122	129	0	11.59	80.00	9.19	11.59	14.41	0.521	8.725	14	3
103	38.012109	-5.753255	560.75	560.37	-0.38	0.00	1.61	36.83	0	0	114	126	0	14.41	80.00	11.59	14.10	10.08	0.525	8.769	1	2
104	38.012404	-5.753063	561.50	560.96	-0.54	0.00	0.00	42.67	0	0	100	110	0	19.88	80.00	14.10	17.54	9.50	0.528	8.806	1	3
105	38.012625	-5.752665	561.00	560.96	-0.04	0.00	-0.12	27.92	0	0	99	109	0	20.40	80.00	17.54	18.78	5.51	0.530	8.849	1	1
106	38.012675	-5.752353	560.75	560.93	0.18	0.00	4.95	30.50	0	0	136	123	0	8.56	80.00	18.78	10.88	7.73	0.532	8.877	2	5
107	38.012623	-5.752012	560.75	562.44	1.69	0.00	2.29	307.55	0	0	119	120	0	12.66	80.00	10.88	12.66	87.96	0.534	8.907	14	2
108	38.011336	-5.748908	570.00	569.48	-0.52	0.00	0.53	47.98	0	0	106	117	0	17.95	80.00	12.66	16.50	11.46	0.558	9.215	1	3
109	38.011246	-5.748373	569.75	569.74	-0.01	0.00	0.66	24.13	0	0	107	97	0	17.49	80.00	16.50	16.50	5.26	0.562	9.263	4	1
110	38.011265	-5.748099	570.00	569.90	-0.10	0.00	0.46	38.74	0	0	105	116	0	18.23	80.00	16.50	17.68	8.03	0.563	9.287	1	1
111	38.011380	-5.747682	568.75	570.08	1.33	0.00	0.23	98.31	0	0	103	109	0	19.09	80.00	17.68	19.09	18.96	0.565	9.325	14	2
112	38.011897	-5.746772	566.25	570.30	4.05	0.00	0.24	43.36	0	0	103	102	0	19.03	80.00	19.09	19.03	8.20	0.571	9.424	24	2
113	38.012072	-5.746330	568.00	570.40	2.40	0.00	0.56	48.80	0	0	106	96	0	17.84	80.00	19.03	17.90	9.53	0.573	9.467	2	1
